Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
TakeByteString/ExMemory 1/ExMemory 512,1.2499894928788118e-6,1.2165955743107749e-6,1.3175763199991775e-6,1.5473945703328735e-7,1.0549212514255361e-7,2.4537466926880334e-7
TakeByteString/ExMemory 1/ExMemory 1024,1.6299902224417107e-6,1.5718302342550816e-6,1.717349009289005e-6,2.3102261020769293e-7,1.987825912982778e-7,3.024764936056732e-7
TakeByteString/ExMemory 1/ExMemory 2048,1.371686341925141e-6,1.3076001668737384e-6,1.4509045892529789e-6,2.122842052891761e-7,1.676195262372289e-7,2.999013583679248e-7
TakeByteString/ExMemory 1/ExMemory 4096,1.567481824962874e-6,1.4815452636401175e-6,1.7030283039166367e-6,3.677726015720916e-7,2.689819209457595e-7,5.219400302298031e-7
TakeByteString/ExMemory 1/ExMemory 8192,1.2295101607626736e-6,1.2065937447613054e-6,1.2651866814269519e-6,9.921293434899327e-8,7.593226283187155e-8,1.3044717109819114e-7
TakeByteString/ExMemory 1/ExMemory 16384,1.3876181788363698e-6,1.3341961820885365e-6,1.4986150909174788e-6,2.371603481635584e-7,1.7212367768400211e-7,3.5312303386631684e-7
TakeByteString/ExMemory 1/ExMemory 32768,1.3119726795927435e-6,1.2754175808915114e-6,1.3595300346724427e-6,1.3820352489483698e-7,1.0134364718184319e-7,1.9148220082121655e-7
TakeByteString/ExMemory 1/ExMemory 65536,1.4572680318201091e-6,1.3874825407462153e-6,1.5318594373316405e-6,2.2839499992032776e-7,2.018204649800155e-7,2.623265351555086e-7
TakeByteString/ExMemory 1/ExMemory 131072,1.2999569453110778e-6,1.256014022798789e-6,1.3748004475159436e-6,1.8654590351136356e-7,1.5421409311478946e-7,2.2448527598468997e-7
TakeByteString/ExMemory 2/ExMemory 1,6.88772583995008e-6,6.738732815465477e-6,7.188604367311303e-6,7.207914235525949e-7,4.4861412595898744e-7,1.257414594286454e-6
TakeByteString/ExMemory 2/ExMemory 1,6.797007094293476e-6,6.695230539791901e-6,7.012933737427105e-6,4.4438977601368933e-7,3.409843449803859e-7,6.459825651849957e-7
TakeByteString/ExMemory 2/ExMemory 1,6.685682968023724e-6,6.556711614343176e-6,7.017158674273608e-6,6.843480698287073e-7,1.1885647628467435e-7,1.2763100006927868e-6
TakeByteString/ExMemory 2/ExMemory 2,6.61389619176852e-6,6.574774223812598e-6,6.713872471360431e-6,2.0283329891664084e-7,1.2945283192083939e-7,3.156502558455812e-7
TakeByteString/ExMemory 2/ExMemory 4,6.8413119468656244e-6,6.693099863274602e-6,7.505039870420579e-6,8.518867184511027e-7,2.9924547790850513e-7,1.845342838940003e-6
TakeByteString/ExMemory 2/ExMemory 8,6.632707799108706e-6,6.574319710319383e-6,6.761898548031195e-6,2.726687708808644e-7,1.297469952914591e-7,4.913412650340385e-7
TakeByteString/ExMemory 2/ExMemory 16,6.8368068354866635e-6,6.717611541062591e-6,7.396172566806608e-6,7.157839111554219e-7,2.8032533169330597e-7,1.6410589051556732e-6
TakeByteString/ExMemory 2/ExMemory 32,6.833788026706105e-6,6.696437769085142e-6,6.980010629970823e-6,4.846840752195359e-7,3.246996856733454e-7,6.349885660836441e-7
TakeByteString/ExMemory 2/ExMemory 64,6.76354209363488e-6,6.65801230428169e-6,6.9012356631681635e-6,4.2292728140325494e-7,3.000904434655587e-7,5.789721169204092e-7
TakeByteString/ExMemory 2/ExMemory 128,6.86987494708744e-6,6.749262256560108e-6,7.034034832364902e-6,4.814089972844557e-7,3.6218958954970546e-7,6.909580908784785e-7
TakeByteString/ExMemory 2/ExMemory 256,6.537829999947547e-6,6.52835746879576e-6,6.5476268389311975e-6,3.547450488199308e-8,2.7380038498344903e-8,4.71408133611627e-8
TakeByteString/ExMemory 2/ExMemory 512,6.742689803364588e-6,6.6550901056949635e-6,6.905320439963568e-6,3.90551863908307e-7,2.1762618433353119e-7,6.27999752926946e-7
TakeByteString/ExMemory 2/ExMemory 1024,6.68432774931869e-6,6.602790032233582e-6,6.830741055491915e-6,3.648174444068015e-7,1.5430889515551406e-7,5.695029883822464e-7
TakeByteString/ExMemory 2/ExMemory 2048,7.02268264301762e-6,6.8782907063762874e-6,7.233469097561902e-6,5.682961749343362e-7,4.587017110520361e-7,7.686217417525422e-7
TakeByteString/ExMemory 2/ExMemory 4096,6.561736593224441e-6,6.5517720658675e-6,6.5825911038120385e-6,4.931340146896371e-8,2.5814521714686136e-8,7.624551932499584e-8
TakeByteString/ExMemory 2/ExMemory 8192,6.756165301947968e-6,6.665198431816113e-6,6.987540619784267e-6,4.3574736985249245e-7,2.614486847103955e-7,8.395166124000291e-7
TakeByteString/ExMemory 2/ExMemory 16384,6.564702723865886e-6,6.542434711557976e-6,6.642310636876455e-6,1.292538664822728e-7,2.8736656135150642e-8,2.6931515764533957e-7
TakeByteString/ExMemory 2/ExMemory 32768,6.7058918664377885e-6,6.62033555808642e-6,6.8823942236743435e-6,3.9228512165690847e-7,2.0059246945875755e-7,7.115774646448617e-7
TakeByteString/ExMemory 2/ExMemory 65536,6.7980529775431135e-6,6.690312406267941e-6,6.993735854825302e-6,4.250685507145527e-7,2.8222677438332963e-7,5.933066241671394e-7
TakeByteString/ExMemory 2/ExMemory 131072,6.977233979229955e-6,6.821900929639472e-6,7.172165712612373e-6,5.461791466359393e-7,4.1818305044027476e-7,8.370501725082618e-7
TakeByteString/ExMemory 4/ExMemory 1,6.7441067187065106e-6,6.648614052328632e-6,6.891931835145092e-6,4.070239713539267e-7,2.65850520242549e-7,5.881256617220193e-7
TakeByteString/ExMemory 4/ExMemory 1,6.6885487904999135e-6,6.574432655597219e-6,7.113947585299512e-6,5.351748984024298e-7,2.276895996030381e-7,1.1638625490638114e-6
TakeByteString/ExMemory 4/ExMemory 1,6.682216190100185e-6,6.616040289015029e-6,6.7727053696689865e-6,2.829476193930798e-7,2.0882443636523895e-7,4.0785327468606943e-7
TakeByteString/ExMemory 4/ExMemory 2,6.7026736685471214e-6,6.617330729314268e-6,7.084847465727716e-6,4.887746815798862e-7,1.9761297817037367e-7,1.015959479944097e-6
TakeByteString/ExMemory 4/ExMemory 4,6.651962827374235e-6,6.594504945145826e-6,6.81704147339676e-6,3.243172145581353e-7,1.6173022273255509e-7,6.019982756996942e-7
TakeByteString/ExMemory 4/ExMemory 8,6.755613676336283e-6,6.653990486672774e-6,6.963499480270804e-6,4.927972889130531e-7,2.1818037882282518e-7,8.645568326816104e-7
TakeByteString/ExMemory 4/ExMemory 16,6.611168145897812e-6,6.573357605417953e-6,6.697148114439745e-6,1.704677224723168e-7,1.1200442949714507e-7,2.4272261951897753e-7
TakeByteString/ExMemory 4/ExMemory 32,7.11277069870553e-6,6.91232900665197e-6,7.430581379799391e-6,8.372744023232669e-7,5.125989140456839e-7,1.5444415509569807e-6
TakeByteString/ExMemory 4/ExMemory 64,6.525714594050813e-6,6.514181528266373e-6,6.541970719016472e-6,4.414667439355284e-8,3.17674212655573e-8,6.512736416334446e-8
TakeByteString/ExMemory 4/ExMemory 128,6.777663380314255e-6,6.6531680064745395e-6,7.096960813592788e-6,6.523502263382302e-7,3.315354053255306e-7,1.135008539757404e-6
TakeByteString/ExMemory 4/ExMemory 256,6.551810034364872e-6,6.531651821661822e-6,6.603951144181894e-6,1.0609531160713387e-7,5.243665749594613e-8,1.8133315577495887e-7
TakeByteString/ExMemory 4/ExMemory 512,6.733386221308031e-6,6.579521555683522e-6,7.118031341404764e-6,8.158538773997245e-7,1.5861524643286717e-7,1.5366120296365418e-6
TakeByteString/ExMemory 4/ExMemory 1024,6.817323286122289e-6,6.7092029905814035e-6,6.933169299970941e-6,3.8593856671469354e-7,2.8960646180418535e-7,4.7099057512642483e-7
TakeByteString/ExMemory 4/ExMemory 2048,6.877056667421229e-6,6.673680841773032e-6,7.553445142561814e-6,1.1091628072046368e-6,2.693467298937991e-7,2.2547356134529713e-6
TakeByteString/ExMemory 4/ExMemory 4096,6.538879057298258e-6,6.5318759441994314e-6,6.549269235063006e-6,3.4159307347992955e-8,2.2684420287067345e-8,5.644631589834932e-8
TakeByteString/ExMemory 4/ExMemory 8192,6.616528609388642e-6,6.5715018067541106e-6,6.716623594742401e-6,2.2300488205132638e-7,1.4095752260168805e-7,3.7257432796051713e-7
TakeByteString/ExMemory 4/ExMemory 16384,6.582625174321852e-6,6.558682831420705e-6,6.6653027987632975e-6,1.3642952360407634e-7,5.344305578863259e-8,2.552957896670326e-7
TakeByteString/ExMemory 4/ExMemory 32768,6.865746597251843e-6,6.755340768720831e-6,7.006981552680953e-6,4.259063270993767e-7,3.396294069601386e-7,5.339009245265906e-7
TakeByteString/ExMemory 4/ExMemory 65536,6.782228730422476e-6,6.689010909574254e-6,6.956640531464489e-6,4.220020473480965e-7,2.287283973267254e-7,6.219377237589086e-7
TakeByteString/ExMemory 4/ExMemory 131072,6.868485053929067e-6,6.758444356234052e-6,7.020590765952551e-6,4.770526248020204e-7,3.812510852040176e-7,6.127483968352373e-7
TakeByteString/ExMemory 7/ExMemory 1,6.569514293824916e-6,6.545508565589948e-6,6.647761061001385e-6,1.3918796407871354e-7,5.488887247507759e-8,2.490500756297328e-7
TakeByteString/ExMemory 7/ExMemory 1,6.789159477536281e-6,6.6827241012259575e-6,6.9241592951229536e-6,4.1226990342951393e-7,3.047269960932596e-7,5.33123171883103e-7
TakeByteString/ExMemory 7/ExMemory 1,6.651271259286818e-6,6.588861677702797e-6,6.749913279525189e-6,2.454494100740493e-7,1.6638340080748772e-7,3.7581955876747646e-7
TakeByteString/ExMemory 7/ExMemory 2,6.655619044733792e-6,6.5764155249219905e-6,7.031313576147643e-6,4.724656002378464e-7,7.288538012174075e-8,1.078045996957439e-6
TakeByteString/ExMemory 7/ExMemory 4,6.576055651710626e-6,6.545979557558517e-6,6.687833291283336e-6,1.681440422396175e-7,5.509179036411742e-8,3.40582979403573e-7
TakeByteString/ExMemory 7/ExMemory 8,6.648534608735722e-6,6.575066715358351e-6,6.846137941045494e-6,3.8465860200527057e-7,1.3505882977935918e-7,7.541989160476767e-7
TakeByteString/ExMemory 7/ExMemory 16,6.896426969246851e-6,6.774319446017426e-6,7.063441848058907e-6,4.573522543039826e-7,3.2489481561499805e-7,6.096121028239021e-7
TakeByteString/ExMemory 7/ExMemory 32,6.986328666437902e-6,6.806320236000322e-6,7.270633314223421e-6,7.386638679986502e-7,4.475940549431207e-7,1.173300703169284e-6
TakeByteString/ExMemory 7/ExMemory 64,6.612844175336111e-6,6.565572423294118e-6,6.777459598783299e-6,2.8795199924135334e-7,1.1275029685211887e-7,5.653201674738022e-7
